,run,epoch,loss,accuracy,epoch_duration,run_duration,lr,batch_size
0,1,1,1.0043392817179362,0.6186666666666667,5.503452777862549,5.957979679107666,0.01,1000
1,1,2,0.5308366770545642,0.79785,6.071171283721924,12.082647323608398,0.01,1000
2,1,3,0.44584156771500905,0.8371666666666666,6.0566112995147705,18.1983642578125,0.01,1000
3,1,4,0.39100005477666855,0.8570333333333333,5.957404375076294,24.216505765914917,0.01,1000
4,1,5,0.3531143595774969,0.8708166666666667,7.07533860206604,31.35154128074646,0.01,1000
5,2,1,1.2334197362263997,0.5326833333333333,7.07893705368042,8.056643009185791,0.01,2000
6,2,2,0.6207613249619802,0.7568833333333334,7.503077030181885,15.63472056388855,0.01,2000
7,2,3,0.5156819780667623,0.80315,7.401428461074829,23.10031223297119,0.01,2000
8,2,4,0.4429048498471578,0.83865,7.830853462219238,30.996173620224,0.01,2000
9,2,5,0.4054745296637217,0.85295,7.025425434112549,38.09468722343445,0.01,2000
10,3,1,1.5050512462854386,0.50185,6.85891056060791,7.309096813201904,0.001,1000
11,3,2,0.7677456428607304,0.71375,7.061440706253052,14.428876638412476,0.001,1000
12,3,3,0.663692354162534,0.7488,6.856829643249512,21.35194754600525,0.001,1000
13,3,4,0.6084026515483856,0.7685166666666666,6.843336582183838,28.256269931793213,0.001,1000
14,3,5,0.566576075553894,0.7861666666666667,7.960864543914795,36.27866721153259,0.001,1000
15,4,1,2.0809723655382792,0.2827,7.050029516220093,7.953466892242432,0.001,2000
16,4,2,1.010338306427002,0.6371833333333333,6.746037244796753,14.759217023849487,0.001,2000
17,4,3,0.7876551667849223,0.6984,7.130977153778076,21.95567798614502,0.001,2000
18,4,4,0.7119239608446757,0.7245833333333334,6.986723184585571,29.00557804107666,0.001,2000
19,4,5,0.6634801248709361,0.7402666666666666,6.833580255508423,35.89357805252075,0.001,2000
